game,reward_1,reward_2,player_1,player_2,loss_1,loss_2
16692,-1,1,O,X,0.1085866168141365,0
16693,1,-1,X,O,0.08838602155447006,0
16694,-1,1,O,X,0.08494468033313751,0
16695,1,-1,X,O,0.11490790545940399,0
16696,-1,1,O,X,0.09290367364883423,0
16697,1,-1,X,O,0.12460310757160187,0
16698,-1,1,O,X,0.0849703848361969,0
16699,-1,1,X,O,0.06507384032011032,0
16700,-1,1,O,X,0.08654649555683136,0
16701,1,-1,X,O,0.09536787867546082,0
16702,0,0,O,X,0.07386482506990433,0
16703,1,-1,X,O,0.08017674088478088,0
16704,-1,1,O,X,0.08647376298904419,0
16705,1,-1,X,O,0.11631836742162704,0
16706,1,-1,O,X,0.07214745134115219,0
16707,1,-1,X,O,0.09553622454404831,0
16708,1,-1,O,X,0.09185958653688431,0
