,game,reward_1,reward_2,player_1,player_2,loss_1,loss_2,player_1_opt,player_1_rand,eps
12248,12249,1,-1,X,O,0.049562111496925354,0.07585033029317856,-0.598,0.814,0.5
12498,12499,1,-1,X,O,0.11140868067741394,0.12158818542957306,0.396,0.704,0.5
12748,12749,0,0,X,O,0.0810324177145958,0.07568612694740295,-0.5,0.828,0.5
12998,12999,-1,1,X,O,0.11124353110790253,0.07864266633987427,-0.714,0.848,0.5
13248,13249,-1,1,X,O,0.10096415877342224,0.07135802507400513,0.5,0.832,0.5
13498,13499,1,-1,X,O,0.0918157622218132,0.09594234079122543,-0.5,0.746,0.5
13748,13749,1,-1,X,O,0.07596960663795471,0.08892576396465302,-0.186,0.814,0.5
13998,13999,1,-1,X,O,0.11088485270738602,0.06995145976543427,-0.582,0.828,0.5
14248,14249,-1,1,X,O,0.08985743671655655,0.07326552271842957,-0.5,0.876,0.5
14498,14499,-1,1,X,O,0.08209466934204102,0.055457498878240585,-0.778,0.81,0.5
